"%s codes deleted","%s kod silindi"
"%s codes imported","%s kod alındı"
"%s codes not imported","%s kod alınamadı"
"%s product in feed.","Veri akışında %s adet ürün var."
"%s product not in feed.","%s adet ürün veri akışında yok."
"Add new","Yeni Ekle"
"Attrib. Set Name","Özellik Seti Adı"
"Attributes map","Özellik Eşleştirme"
"Cron Frequency","Zamanlama Aralığı"
"Cron Hour","Zamanlama Saati"
"Delete","Sil"
"Eav code","Eav Kodu"
"FTP Password","FTP Şifresi"
"FTP Path","FTP Dosya Yolu"
"FTP Server","FTP Sunucu"
"FTP Settings","FTP Ayarları"
"FTP User","FTP Kullanıcı"
"FTP: Can't delete files","FTP: Dosyalar silinemiyor"
"Feed","Veri Akışı"
"Feed code","Veri Akışı Kodu"
"ID","NO"
"Import","Veri Al"
"Import attribute map","Özellik Eşleme Verisini Al"
"Import code","Veri Alma Kodu"
"In feed","Veri Akışı İçinde"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","FTP bilginize erişmek için TheFind Merchant Center bölümünde mağazanızı kaydedip, bu kaydı teyid etmelisiniz.  Başlamak için <a href=""https://merchant.thefind.com/mc/claim.fhtml"">BURAYA</a> tıklayınız."
"Is imported","Veri alındı"
"Item params","Ürün parametreleri"
"Manage attributes","Özellikleri Yönet"
"Manage items","Ürünleri Yönet"
"Not import","Veri Almaya Dahil Etme"
"Not publish","Yayınlama"
"Price","Fiyat"
"Product Name","Ürün Adı"
"Product import","Ürün Verisi Al"
"Publish","Yayınla"
"SKU","SKU (Ürün Kodu)"
"Settings","Ayarlar"
"The Find","The Find"
"TheFind Feed Filename","TheFind Veri Akışı Dosya Adı"
"TheFind feed","TheFind Veri Akışı"
"Type","Tip"
"Unable to process an import. ","Veri alma işlemi yapılamıyor. "
"Update TheFind Item when Product is Updated","Ürün Güncellendiğinde TheFind verisini de güncelle"
