"Costs for inland shipping","Kapıda Ödeme Ücreti"
"Costs for shipping to foreign countries","Yabancı Ülkeler için kapıda ödeme ücreti"
"Custom text for checkout page","Custom text for checkout page"
"Cash on Delivery","Cash on Delivery"
"Cash on Delivery fee","Kapıda ödeme ücreti"
"You will be charged an extra fee of %s.","Kapıda Ödeme Ücreti %s."
"Incl. Tax","Incl. Tax"
"Cash on Delivery fee (Excl.Tax)","Cash on Delivery fee (Excl.Tax)"
"Cash on Delivery fee (Incl.Tax)","Cash on Delivery fee (Incl.Tax)"
"Cash on Delivery fee %s","Kapıda ödeme ücreti %s"
"Refund Cash on Delivery fee","Refund Cash on Delivery fee"
"Cost calculation","Cost calculation"
"Fixed","Fixed"
"Percentage","Percentage"
"Cost calculation base","Cost calculation base"
"Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation.","Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation."
"Refund Cash on Delivery fee","Refund Cash on Delivery fee"
